'sample interval','MLII','V1'
'0.00277778 sec','mV','mV'
0,-0.780,-0.735
1,-0.780,-0.735
2,-0.780,-0.735
3,-0.780,-0.735
4,-0.780,-0.735
5,-0.780,-0.735
6,-0.780,-0.735
7,-0.780,-0.690
8,-0.780,-0.685
9,-0.775,-0.715
10,-0.755,-0.740
11,-0.755,-0.735
12,-0.745,-0.675
13,-0.745,-0.660
14,-0.765,-0.685
15,-0.760,-0.750
16,-0.745,-0.785
17,-0.745,-0.770
18,-0.760,-0.705
19,-0.760,-0.635
20,-0.750,-0.650
21,-0.735,-0.705
22,-0.705,-0.745
23,-0.695,-0.780
24,-0.690,-0.735
25,-0.705,-0.695
26,-0.725,-0.680
27,-0.720,-0.710
28,-0.700,-0.765
29,-0.665,-0.770
30,-0.645,-0.735
31,-0.610,-0.675
32,-0.595,-0.640
33,-0.580,-0.670
34,-0.550,-0.710
35,-0.520,-0.720
36,-0.535,-0.665
37,-0.540,-0.610
38,-0.550,-0.620
39,-0.545,-0.665
40,-0.535,-0.690
41,-0.540,-0.685
42,-0.545,-0.635
43,-0.560,-0.590
44,-0.575,-0.620
45,-0.585,-0.665
46,-0.580,-0.680
47,-0.580,-0.660
48,-0.590,-0.595
49,-0.605,-0.580
50,-0.605,-0.610
51,-0.605,-0.695
52,-0.610,-0.745
53,-0.610,-0.740
54,-0.645,-0.695
55,-0.685,-0.660
56,-0.690,-0.680
57,-0.715,-0.700
58,-0.700,-0.755
59,-0.715,-0.760
60,-0.735,-0.705
61,-0.755,-0.690
62,-0.790,-0.675
63,-0.775,-0.745
64,-0.795,-0.790
65,-0.785,-0.770
66,-0.795,-0.715
67,-0.810,-0.660
68,-0.780,-0.645
69,-0.765,-0.700
70,-0.755,-0.745
71,-0.740,-0.760
72,-0.740,-0.720
73,-0.785,-0.690
74,-0.825,-0.680
75,-0.840,-0.740
76,-0.890,-0.785
77,-0.925,-0.800
78,-0.960,-0.765
79,-0.965,-0.705
80,-0.950,-0.665
81,-0.870,-0.660
82,-0.730,-0.625
83,-0.555,-0.555
84,-0.345,-0.445
85,-0.140,-0.375
86,0.050,-0.360
87,0.235,-0.405
88,0.410,-0.420
89,0.570,-0.420
90,0.705,-0.405
91,0.800,-0.425
92,0.845,-0.540
93,0.855,-0.695
94,0.845,-0.860
95,0.805,-0.925
96,0.730,-0.890
97,0.650,-0.815
98,0.530,-0.735
99,0.340,-0.665
100,0.065,-0.595
101,-0.260,-0.585
102,-0.555,-0.600
103,-0.745,-0.680
104,-0.820,-0.750
105,-0.815,-0.820
106,-0.755,-0.815
107,-0.700,-0.740
108,-0.670,-0.675
109,-0.670,-0.700
110,-0.695,-0.730
111,-0.740,-0.745
112,-0.770,-0.765
113,-0.840,-0.695
114,-0.865,-0.660
115,-0.860,-0.690
116,-0.845,-0.710
117,-0.820,-0.705
118,-0.810,-0.650
119,-0.830,-0.625
120,-0.855,-0.615
121,-0.855,-0.680
122,-0.840,-0.720
123,-0.845,-0.725
124,-0.830,-0.680
125,-0.840,-0.625
126,-0.850,-0.620
127,-0.840,-0.655
128,-0.815,-0.690
129,-0.800,-0.690
130,-0.810,-0.625
131,-0.820,-0.595
132,-0.850,-0.605
133,-0.860,-0.660
134,-0.840,-0.715
135,-0.830,-0.710
136,-0.835,-0.655
137,-0.840,-0.605
138,-0.845,-0.605
139,-0.835,-0.620
140,-0.805,-0.670
141,-0.800,-0.635
142,-0.800,-0.615
143,-0.805,-0.550
144,-0.820,-0.550
145,-0.830,-0.615
146,-0.825,-0.660
147,-0.810,-0.670
148,-0.840,-0.630
149,-0.865,-0.570
150,-0.865,-0.550
151,-0.855,-0.575
152,-0.820,-0.615
153,-0.800,-0.605
154,-0.770,-0.535
155,-0.785,-0.500
156,-0.780,-0.495
157,-0.795,-0.525
158,-0.790,-0.590
159,-0.790,-0.595
160,-0.800,-0.550
161,-0.820,-0.520
162,-0.820,-0.505
163,-0.800,-0.545
164,-0.765,-0.575
165,-0.715,-0.565
166,-0.730,-0.485
167,-0.740,-0.450
168,-0.755,-0.465
169,-0.765,-0.520
170,-0.770,-0.605
171,-0.755,-0.625
172,-0.765,-0.575
173,-0.765,-0.535
174,-0.760,-0.520
175,-0.760,-0.550
176,-0.740,-0.595
177,-0.720,-0.605
178,-0.715,-0.575
179,-0.725,-0.535
180,-0.725,-0.545
181,-0.720,-0.600
182,-0.720,-0.660
183,-0.715,-0.650
184,-0.735,-0.630
185,-0.740,-0.600
186,-0.755,-0.630
187,-0.735,-0.665
188,-0.725,-0.705
189,-0.720,-0.670
190,-0.720,-0.620
191,-0.755,-0.595
192,-0.770,-0.660
193,-0.770,-0.725
194,-0.740,-0.750
195,-0.740,-0.720
196,-0.735,-0.670
197,-0.755,-0.665
198,-0.760,-0.685
199,-0.760,-0.745
200,-0.765,-0.750
201,-0.745,-0.730
202,-0.730,-0.655
203,-0.750,-0.650
204,-0.740,-0.690
205,-0.740,-0.750
206,-0.745,-0.775
207,-0.720,-0.740
208,-0.760,-0.705
209,-0.785,-0.695
210,-0.780,-0.720
211,-0.785,-0.770
212,-0.755,-0.770
213,-0.750,-0.725
214,-0.755,-0.655
215,-0.770,-0.655
216,-0.780,-0.695
217,-0.770,-0.780
218,-0.765,-0.815
219,-0.775,-0.780
220,-0.795,-0.730
221,-0.805,-0.690
222,-0.830,-0.725
223,-0.820,-0.760
224,-0.800,-0.780
225,-0.785,-0.735
226,-0.785,-0.700
227,-0.800,-0.670
228,-0.805,-0.715
229,-0.810,-0.765
230,-0.825,-0.800
231,-0.825,-0.760
232,-0.850,-0.720
233,-0.870,-0.720
234,-0.880,-0.760
235,-0.860,-0.795
236,-0.850,-0.800
237,-0.840,-0.730
238,-0.835,-0.680
239,-0.855,-0.675
240,-0.855,-0.730
241,-0.850,-0.775
242,-0.840,-0.795
243,-0.845,-0.770
244,-0.855,-0.725
245,-0.865,-0.700
246,-0.865,-0.750
247,-0.840,-0.800
248,-0.825,-0.785
249,-0.820,-0.740
250,-0.810,-0.695
251,-0.820,-0.690
252,-0.810,-0.755
253,-0.775,-0.800
254,-0.790,-0.785
255,-0.785,-0.750
256,-0.800,-0.715
257,-0.815,-0.730
258,-0.790,-0.780
259,-0.755,-0.805
260,-0.720,-0.785
261,-0.710,-0.720
262,-0.685,-0.690
263,-0.690,-0.685
264,-0.670,-0.750
265,-0.655,-0.800
266,-0.625,-0.775
267,-0.610,-0.720
268,-0.630,-0.675
269,-0.630,-0.680
270,-0.635,-0.710
271,-0.630,-0.740
272,-0.610,-0.730
273,-0.605,-0.675
274,-0.615,-0.605
275,-0.625,-0.615
276,-0.625,-0.680
277,-0.640,-0.725
278,-0.630,-0.745
279,-0.655,-0.715
280,-0.665,-0.665
281,-0.690,-0.655
282,-0.685,-0.695
283,-0.685,-0.745
284,-0.675,-0.760
285,-0.680,-0.730
286,-0.705,-0.665
287,-0.740,-0.665
288,-0.755,-0.725
289,-0.765,-0.805
290,-0.790,-0.845
291,-0.800,-0.815
292,-0.830,-0.775
293,-0.850,-0.745
294,-0.855,-0.760
295,-0.845,-0.790
296,-0.840,-0.790
297,-0.840,-0.770
298,-0.855,-0.710
299,-0.855,-0.715
300,-0.865,-0.775
301,-0.855,-0.825
302,-0.855,-0.840
303,-0.850,-0.795
304,-0.875,-0.760
305,-0.880,-0.745
306,-0.900,-0.785
307,-0.910,-0.840
308,-0.925,-0.830
309,-0.975,-0.785
310,-1.035,-0.735
311,-1.070,-0.740
312,-1.070,-0.785
313,-1.020,-0.805
314,-0.915,-0.785
315,-0.805,-0.700
316,-0.675,-0.585
317,-0.490,-0.520
318,-0.280,-0.515
319,-0.070,-0.490
320,0.135,-0.450
321,0.315,-0.375
322,0.480,-0.330
323,0.615,-0.360
324,0.715,-0.500
325,0.790,-0.630
326,0.795,-0.765
327,0.770,-0.835
328,0.710,-0.880
329,0.635,-0.885
330,0.550,-0.835
331,0.425,-0.745
332,0.190,-0.610
333,-0.135,-0.535
334,-0.450,-0.540
335,-0.690,-0.685
336,-0.830,-0.830
337,-0.870,-0.915
338,-0.870,-0.910
339,-0.840,-0.845
340,-0.800,-0.800
341,-0.790,-0.800
342,-0.775,-0.830
343,-0.780,-0.835
344,-0.820,-0.795
345,-0.865,-0.755
346,-0.890,-0.715
347,-0.915,-0.750
348,-0.920,-0.810
349,-0.930,-0.865
350,-0.915,-0.840
351,-0.935,-0.765
352,-0.950,-0.730
353,-0.970,-0.740
354,-0.955,-0.785
355,-0.935,-0.795
356,-0.920,-0.780
357,-0.920,-0.700
358,-0.925,-0.670
359,-0.905,-0.685
360,-0.905,-0.750
361,-0.890,-0.780
362,-0.905,-0.785
363,-0.915,-0.750
364,-0.930,-0.700
365,-0.975,-0.690
366,-0.945,-0.720
367,-0.935,-0.775
368,-0.905,-0.775
369,-0.905,-0.710
370,-0.915,-0.645
371,-0.915,-0.630
372,-0.925,-0.675
373,-0.915,-0.730
374,-0.910,-0.755
375,-0.920,-0.710
376,-0.935,-0.665
377,-0.925,-0.645
378,-0.930,-0.665
379,-0.920,-0.730
380,-0.885,-0.715
381,-0.880,-0.680
382,-0.905,-0.600
383,-0.900,-0.585
384,-0.905,-0.625
