'sample interval','V5','V2'
'0.00277778 sec','mV','mV'
0,-0.150,0.200
1,-0.150,0.200
2,-0.150,0.200
3,-0.150,0.200
4,-0.150,0.200
5,-0.150,0.200
6,-0.150,0.200
7,-0.150,0.200
8,-0.145,0.200
9,-0.135,0.215
10,-0.110,0.235
11,-0.080,0.240
12,-0.040,0.240
13,0.000,0.245
14,0.125,0.265
15,0.485,0.335
16,0.925,0.460
17,0.985,0.775
18,0.625,1.030
19,0.250,0.935
20,0.095,0.665
21,0.100,0.485
22,0.120,0.445
23,0.110,0.425
24,0.080,0.395
25,0.050,0.355
26,0.040,0.335
27,0.035,0.330
28,0.045,0.335
29,0.060,0.300
30,0.060,0.305
31,0.045,0.260
32,0.015,0.235
33,0.010,0.210
34,0.000,0.195
35,0.000,0.165
36,-0.020,0.165
37,-0.035,0.135
38,-0.065,0.115
39,-0.075,0.110
40,-0.110,0.110
41,-0.145,0.105
42,-0.180,0.085
43,-0.225,0.065
44,-0.270,0.035
45,-0.310,0.040
46,-0.380,0.030
47,-0.455,0.020
48,-0.510,-0.005
49,-0.565,-0.020
50,-0.620,-0.040
51,-0.665,-0.030
52,-0.705,-0.035
53,-0.750,-0.045
54,-0.790,-0.070
55,-0.830,-0.105
56,-0.860,-0.150
57,-0.880,-0.180
58,-0.885,-0.220
59,-0.900,-0.255
60,-0.900,-0.300
61,-0.895,-0.330
62,-0.885,-0.345
63,-0.870,-0.370
64,-0.855,-0.385
65,-0.845,-0.405
66,-0.825,-0.435
67,-0.820,-0.475
68,-0.800,-0.480
69,-0.770,-0.500
70,-0.720,-0.510
71,-0.655,-0.535
72,-0.610,-0.565
73,-0.580,-0.580
74,-0.550,-0.565
75,-0.490,-0.530
76,-0.445,-0.485
77,-0.380,-0.445
78,-0.345,-0.400
79,-0.310,-0.360
80,-0.300,-0.305
81,-0.270,-0.245
82,-0.235,-0.180
83,-0.225,-0.125
84,-0.215,-0.085
85,-0.220,-0.055
86,-0.225,-0.015
87,-0.220,0.020
88,-0.210,0.055
89,-0.200,0.085
90,-0.180,0.095
91,-0.190,0.095
92,-0.205,0.095
93,-0.205,0.110
94,-0.210,0.145
95,-0.205,0.155
96,-0.200,0.175
97,-0.200,0.185
98,-0.190,0.215
99,-0.175,0.245
100,-0.165,0.275
101,-0.130,0.295
102,-0.145,0.310
103,-0.125,0.315
104,-0.130,0.320
105,-0.115,0.335
106,-0.095,0.350
107,-0.085,0.345
108,-0.080,0.340
109,-0.080,0.335
110,-0.085,0.330
111,-0.075,0.345
112,-0.065,0.365
113,-0.050,0.360
114,-0.045,0.365
115,-0.050,0.350
116,-0.050,0.350
117,-0.045,0.360
118,-0.035,0.370
119,-0.015,0.385
120,-0.020,0.380
121,-0.035,0.375
122,-0.025,0.365
123,-0.030,0.370
124,-0.010,0.390
125,-0.010,0.390
126,0.005,0.395
127,-0.005,0.395
128,-0.005,0.385
129,-0.005,0.400
130,0.010,0.415
131,0.020,0.415
132,0.025,0.420
133,0.020,0.410
134,0.015,0.410
135,0.020,0.430
136,0.035,0.435
137,0.050,0.440
138,0.040,0.440
139,0.045,0.440
140,0.040,0.430
141,0.035,0.445
142,0.055,0.465
143,0.065,0.470
144,0.060,0.465
145,0.055,0.465
146,0.055,0.465
147,0.065,0.470
148,0.080,0.490
149,0.070,0.495
150,0.090,0.500
151,0.080,0.485
152,0.070,0.490
153,0.075,0.505
154,0.085,0.520
155,0.100,0.520
156,0.095,0.520
157,0.090,0.520
158,0.080,0.515
159,0.080,0.530
160,0.095,0.535
161,0.095,0.550
162,0.090,0.545
163,0.090,0.535
164,0.090,0.535
165,0.090,0.540
166,0.075,0.545
167,0.085,0.560
168,0.105,0.535
169,0.080,0.540
170,0.065,0.520
171,0.065,0.525
172,0.070,0.525
173,0.075,0.535
174,0.065,0.520
175,0.055,0.510
176,0.035,0.500
177,0.035,0.505
178,0.035,0.515
179,0.035,0.495
180,0.025,0.485
181,0.010,0.465
182,0.000,0.455
183,-0.020,0.465
184,-0.010,0.465
185,-0.015,0.470
186,-0.020,0.450
187,-0.050,0.440
188,-0.060,0.430
189,-0.060,0.425
190,-0.065,0.425
191,-0.065,0.420
192,-0.080,0.400
193,-0.095,0.380
194,-0.100,0.370
195,-0.095,0.375
196,-0.100,0.380
197,-0.090,0.375
198,-0.100,0.365
199,-0.110,0.345
200,-0.135,0.340
201,-0.135,0.330
202,-0.125,0.335
203,-0.120,0.330
204,-0.115,0.330
205,-0.135,0.310
206,-0.150,0.300
207,-0.145,0.295
208,-0.145,0.300
209,-0.135,0.305
210,-0.135,0.295
211,-0.145,0.290
212,-0.155,0.280
213,-0.150,0.285
214,-0.140,0.295
215,-0.140,0.290
216,-0.145,0.280
217,-0.150,0.280
218,-0.150,0.270
219,-0.170,0.290
220,-0.155,0.275
221,-0.145,0.285
222,-0.135,0.265
223,-0.150,0.275
224,-0.160,0.265
225,-0.155,0.275
226,-0.160,0.290
227,-0.135,0.275
228,-0.145,0.265
229,-0.150,0.260
230,-0.165,0.260
231,-0.155,0.260
232,-0.140,0.275
233,-0.135,0.270
234,-0.155,0.255
235,-0.150,0.260
236,-0.165,0.255
237,-0.165,0.250
238,-0.160,0.265
239,-0.150,0.270
240,-0.150,0.265
241,-0.150,0.245
242,-0.150,0.250
243,-0.175,0.255
244,-0.165,0.265
245,-0.155,0.265
246,-0.160,0.265
247,-0.170,0.265
248,-0.175,0.255
249,-0.185,0.255
250,-0.160,0.275
251,-0.160,0.265
252,-0.165,0.260
253,-0.180,0.250
254,-0.190,0.250
255,-0.195,0.255
256,-0.180,0.265
257,-0.180,0.260
258,-0.185,0.250
259,-0.195,0.245
260,-0.210,0.230
261,-0.205,0.245
262,-0.200,0.260
263,-0.200,0.245
264,-0.205,0.240
265,-0.220,0.225
266,-0.240,0.230
267,-0.230,0.235
268,-0.220,0.240
269,-0.215,0.240
270,-0.225,0.240
271,-0.225,0.230
272,-0.245,0.220
273,-0.235,0.230
274,-0.230,0.230
275,-0.215,0.225
276,-0.215,0.235
277,-0.235,0.205
278,-0.245,0.210
279,-0.235,0.220
280,-0.230,0.225
281,-0.225,0.225
282,-0.235,0.230
283,-0.250,0.210
284,-0.260,0.205
285,-0.250,0.215
286,-0.245,0.215
